Designator,Footprint,Quantity,Value,LCSC Part #
12VLED1,0402,1,RED_LED,
3V3LED1,0402,1,BLUE_LED,
"BOOTJUMPER1, ENJUMPER1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"C1, C16, C20, C24, C26",0402,5,10uF,
"C10, C11, C27, C3, C49, C5, C54, C56, C57, C59, C6, C61, C62, C8",0402,14,0.1uF,
C12,0603,1,2.2uF,
"C13, C14",0402,2,11pF,
"C15, C31, C33, C44, C45",0402,5,100nF,
C17,0402,1,47nF,
C18,0402,1,180pF,
C19,0402,1,3.9nF,
"C2, C22, C4, C50, C51, C7",0402,6,1uF,
"C21, C38",0603,2,10uF,
C23,0603,1,22uF,
C25,0402,1,4.7uF,
"C28, C37",0402,2,1uF,CL05X105KA5NQNC
"C29, C30, C41, C43",0805,4,22uF,
"C32, C42",0402,2,2.2uF,GRM155R61E225ME15D
C34,1206,1,47uF,
C35,0402,1,10uF, CL05A106MP8NUB8
"C36, C47",0402,2,100nF,C1005X5R1E104KT000E
C39,0402,1,120pF,
C40,0402,1,2.2nF,
C46,0603,1,10uF, TMK107BBJ106MA-T
C48,1206,1,22uF,
C52,0402,1,220nF,
"C53, C55, C58, C60",0402,4,0.01uF,
"C63, C64, C65, C66, C9",0402,5,10nF,
CANRXLED1,0402,1,CANRXLED,
CANTXLED1,0402,1,CANTXLED,
D1,SOT-23,1,SM712_SOT23,
D2,SOT-143,1,SP0503BAHT,
D3,SOT-23,1,MMBZ6V2ALT1G,MMBZ6V2ALT1G
D6,RCLAMP3346PQTNT,1,RCLAMP3346PQTNT,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
"IC1, IC4",IC_TPS61089RNRR,2,TPS61089RNRR,TPS61089RNRR
"IC2, IC3",SOT95P282X145-5N,2,AP2205-W5-7,AP2205-W5-7
IC5,QFN40P300X300X80-21N-D,1,ADS131M04IRUKR,
J1,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,1,RBUS,
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
"J4, J5, J6, J7",Molex_Nano-Fit_105313-xx04_1x04_P2.50mm_Horizontal,4,1053131104,
J8,PinSocket_2x05_P2.54mm_Vertical,1,GPIO Breakout,
J9,JAE_ST1W008S4TR2000,1,ST1W008S4TR2000,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,TermJP,
"JP10, JP11, JP12, JP13, JP14, JP17, JP20, JP22, JP3, JP4, JP5, JP6",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,12,SolderJumper_3_Open,
"JP15, JP16, JP18, JP19, JP2, JP21, JP7, JP8, JP9",SmallerSolderJP,9,SolderJumper_2_Open,
L1,0402,1,2.0nH,
L2,0402,1,20nH,
L3,0805,1,1uH,
"L4, L5",IND_SRP6540-390M,2,SRR6038-5R0Y,
Q1,SOT-23,1,PMOS, DMP3099L
"R1, R14, R17, R20, R29, R3, R32, R38, R46, R61",0402,10,10K,
"R10, R9",0603,2,60,
"R11, R12, R13",0402,3,5.1k,
"R15, R36, R43, R49",0402,4,14k,
R16,0402,1,56k,
R18,0402,1,360k,
"R19, R27",0402,2,100k,
"R2, R4",0402,2,470,
R21,0402,1,560k,
"R22, R28",0402,2,49.9k,
R23,0402,1,150k,
R24,0402,1,301k,
R25,0402,1,18.7k,
R26,0402,1,976k,
R30,0402,1,475k,
R31,0402,1,287k,
"R33, R40, R45, R48, R55, R56, R57, R58, R60, R62, R64",0402,11,1k,
"R34, R42, R47",0402,3,75k,
R35,0402,1,75k,RT0402BRD0775KL
R37,0402,1,10k, ERA2ARB103X
R39,0402,1,14k,0402WGF1402TCE
"R41, R44, R59, R63",0402,4,49.9,RT0402BRD0749R9L
R5,0402,1,7.87k,
"R50, R51, R52, R53",0402,4,100,
R54,0402,1,54.9R,
R6,0402,1,499R,AC0402FR-07499RL
R65,0402,1,432k,
R7,0402,1,3k,
R8,0603,1,0,
"TC1, TC2",Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal,2,Thermocouple,
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,TestPoint,
"TP5, TP6",TestPoint_Pad_D1.5mm,2,TestPoint,
TXLED1,0402,1,GREEN_LED,
U1,QFN40P700X700X90-57N,1,ESP32-S3,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U3,SOTFL50P160X60-8N,1,LM66200DRLR,
U4,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U5,SOIC127P599X175-9N,1,SC4215,
"U6, U7",TSSOP-14_4.4x5mm_P0.65mm,2,MAX31856,
USBLED1,0402,1,WHITE_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,R940000171,
